Date,Users
"Nov 18, 2022",97
"Nov 19, 2022",76
"Nov 20, 2022",92
"Nov 21, 2022",130
"Nov 22, 2022",99
"Nov 23, 2022",101
"Nov 24, 2022",98
"Nov 25, 2022",58
"Nov 26, 2022",75
"Nov 27, 2022",53
"Nov 28, 2022",92
"Nov 29, 2022",91
"Nov 30, 2022",98
"Dec 1, 2022",84
"Dec 2, 2022",102
"Dec 3, 2022",77
"Dec 4, 2022",57
"Dec 5, 2022",85
"Dec 6, 2022",70
"Dec 7, 2022",85
"Dec 8, 2022",78
"Dec 9, 2022",61
"Dec 10, 2022",51
"Dec 11, 2022",83
"Dec 12, 2022",111
"Dec 13, 2022",70
"Dec 14, 2022",144
"Dec 15, 2022",97
"Dec 16, 2022",99
"Dec 17, 2022",69
"Dec 18, 2022",82
"Dec 19, 2022",125
"Dec 20, 2022",96
"Dec 21, 2022",76
"Dec 22, 2022",79
"Dec 23, 2022",68
"Dec 24, 2022",47
"Dec 25, 2022",48
"Dec 26, 2022",74
"Dec 27, 2022",66
"Dec 28, 2022",56
"Dec 29, 2022",111
"Dec 30, 2022",63
"Dec 31, 2022",48
"Jan 1, 2023",28
"Jan 2, 2023",76
"Jan 3, 2023",108
"Jan 4, 2023",71
"Jan 5, 2023",63
"Jan 6, 2023",73
"Jan 7, 2023",71
"Jan 8, 2023",56
"Jan 9, 2023",86
"Jan 10, 2023",77
"Jan 11, 2023",120
"Jan 12, 2023",83
"Jan 13, 2023",81
"Jan 14, 2023",45
"Jan 15, 2023",57
"Jan 16, 2023",91
"Jan 17, 2023",90
"Jan 18, 2023",65
"Jan 19, 2023",86
"Jan 20, 2023",82
"Jan 21, 2023",85
"Jan 22, 2023",75
"Jan 23, 2023",112
"Jan 24, 2023",85
"Jan 25, 2023",86
"Jan 26, 2023",72
"Jan 27, 2023",69
"Jan 28, 2023",72
"Jan 29, 2023",45
"Jan 30, 2023",96
"Jan 31, 2023",82
"Feb 1, 2023",105
"Feb 2, 2023",93
"Feb 3, 2023",104
"Feb 4, 2023",53
"Feb 5, 2023",46
"Feb 6, 2023",91
"Feb 7, 2023",95
"Feb 8, 2023",96
"Feb 9, 2023",81
"Feb 10, 2023",71
"Feb 11, 2023",62
"Feb 12, 2023",44
"Feb 13, 2023",95
"Feb 14, 2023",100
"Feb 15, 2023",84
"Feb 16, 2023",90
"Feb 17, 2023",84
"Feb 18, 2023",43
"Feb 19, 2023",55
"Feb 20, 2023",96
"Feb 21, 2023",115
"Feb 22, 2023",100
"Feb 23, 2023",98
"Feb 24, 2023",91
"Feb 25, 2023",65
"Feb 26, 2023",53
"Feb 27, 2023",100
"Feb 28, 2023",69
"Mar 1, 2023",81
"Mar 2, 2023",83
"Mar 3, 2023",79
"Mar 4, 2023",95
"Mar 5, 2023",62
"Mar 6, 2023",96
"Mar 7, 2023",74
"Mar 8, 2023",90
"Mar 9, 2023",122
"Mar 10, 2023",91
"Mar 11, 2023",68
"Mar 12, 2023",53
"Mar 13, 2023",90
