Date,Users,New Users
"Oct 15, 2022",62,50
"Oct 16, 2022",51,44
"Oct 17, 2022",100,77
"Oct 18, 2022",91,69
"Oct 19, 2022",79,56
"Oct 20, 2022",88,69
"Oct 21, 2022",79,54
"Oct 22, 2022",46,33
"Oct 23, 2022",43,34
"Oct 24, 2022",52,39
"Oct 25, 2022",65,46
"Oct 26, 2022",61,47
"Oct 27, 2022",67,53
"Oct 28, 2022",62,53
"Oct 29, 2022",58,44
"Oct 30, 2022",52,40
"Oct 31, 2022",68,51
"Nov 1, 2022",82,65
"Nov 2, 2022",88,65
"Nov 3, 2022",95,74
"Nov 4, 2022",72,58
"Nov 5, 2022",66,57
"Nov 6, 2022",48,37
"Nov 7, 2022",87,63
"Nov 8, 2022",122,101
"Nov 9, 2022",111,84
"Nov 10, 2022",105,76
"Nov 11, 2022",75,58
"Nov 12, 2022",63,49
"Nov 13, 2022",58,48
"Nov 14, 2022",89,66
"Nov 15, 2022",139,118
"Nov 16, 2022",112,90
"Nov 17, 2022",116,90
"Nov 18, 2022",97,66
"Nov 19, 2022",76,57
"Nov 20, 2022",92,83
"Nov 21, 2022",130,103
"Nov 22, 2022",99,77
"Nov 23, 2022",101,73
"Nov 24, 2022",98,73
"Nov 25, 2022",58,43
"Nov 26, 2022",75,56
"Nov 27, 2022",53,43
"Nov 28, 2022",92,76
"Nov 29, 2022",91,74
"Nov 30, 2022",98,79
"Dec 1, 2022",84,69
"Dec 2, 2022",102,73
"Dec 3, 2022",77,58
"Dec 4, 2022",57,46
"Dec 5, 2022",85,67
"Dec 6, 2022",70,54
"Dec 7, 2022",85,64
"Dec 8, 2022",78,56
"Dec 9, 2022",61,45
"Dec 10, 2022",51,40
"Dec 11, 2022",83,66
"Dec 12, 2022",111,85
"Dec 13, 2022",70,59
"Dec 14, 2022",144,119
"Dec 15, 2022",97,72
"Dec 16, 2022",99,77
"Dec 17, 2022",69,50
"Dec 18, 2022",82,70
"Dec 19, 2022",125,97
"Dec 20, 2022",96,74
"Dec 21, 2022",76,50
"Dec 22, 2022",79,54
"Dec 23, 2022",68,48
"Dec 24, 2022",47,34
"Dec 25, 2022",48,39
"Dec 26, 2022",74,62
"Dec 27, 2022",66,57
"Dec 28, 2022",56,42
"Dec 29, 2022",111,96
"Dec 30, 2022",63,52
"Dec 31, 2022",48,30
"Jan 1, 2023",28,21
"Jan 2, 2023",76,59
"Jan 3, 2023",108,86
"Jan 4, 2023",71,53
"Jan 5, 2023",63,51
"Jan 6, 2023",73,57
"Jan 7, 2023",71,57
"Jan 8, 2023",56,43
"Jan 9, 2023",86,69
"Jan 10, 2023",77,67
"Jan 11, 2023",120,95
"Jan 12, 2023",83,66
"Jan 13, 2023",81,64
"Jan 14, 2023",45,40
"Jan 15, 2023",57,48
"Jan 16, 2023",91,79
"Jan 17, 2023",90,69
"Jan 18, 2023",65,50
"Jan 19, 2023",86,69
"Jan 20, 2023",82,64
"Jan 21, 2023",85,64
"Jan 22, 2023",75,61
"Jan 23, 2023",112,88
"Jan 24, 2023",85,65
"Jan 25, 2023",86,59
"Jan 26, 2023",72,55
"Jan 27, 2023",69,52
"Jan 28, 2023",72,58
"Jan 29, 2023",45,36
"Jan 30, 2023",96,70
"Jan 31, 2023",82,62
"Feb 1, 2023",105,76
"Feb 2, 2023",93,70
"Feb 3, 2023",104,83
"Feb 4, 2023",53,38
"Feb 5, 2023",46,38
"Feb 6, 2023",91,71
"Feb 7, 2023",95,72
"Feb 8, 2023",96,72
"Feb 9, 2023",81,60
"Feb 10, 2023",71,55
"Feb 11, 2023",62,48
"Feb 12, 2023",44,39
"Feb 13, 2023",95,73
"Feb 14, 2023",100,77
"Feb 15, 2023",84,67
"Feb 16, 2023",90,68
"Feb 17, 2023",84,54
"Feb 18, 2023",43,33
"Feb 19, 2023",55,43
"Feb 20, 2023",96,74
"Feb 21, 2023",115,86
"Feb 22, 2023",100,81
"Feb 23, 2023",98,71
"Feb 24, 2023",91,76
"Feb 25, 2023",65,51
"Feb 26, 2023",53,42
"Feb 27, 2023",100,72
"Feb 28, 2023",69,50
"Mar 1, 2023",81,57
"Mar 2, 2023",83,70
"Mar 3, 2023",79,63
"Mar 4, 2023",95,81
"Mar 5, 2023",62,47
"Mar 6, 2023",96,75
"Mar 7, 2023",74,53
"Mar 8, 2023",90,74
"Mar 9, 2023",122,99
"Mar 10, 2023",91,73
"Mar 11, 2023",68,54
"Mar 12, 2023",53,43
"Mar 13, 2023",90,71
